Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code (FAO),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QCL","Crops and livestock products","9","Argentina","5510","Production","56","Maize","1986","1986","tonnes","12100000","","Official data"
"QCL","Crops and livestock products","9","Argentina","5510","Production","56","Maize","1987","1987","tonnes","9250000","","Official data"
"QCL","Crops and livestock products","9","Argentina","5510","Production","56","Maize","1988","1988","tonnes","9200000","","Official data"
"QCL","Crops and livestock products","9","Argentina","5510","Production","56","Maize","1989","1989","tonnes","4900000","","Official data"
"QCL","Crops and livestock products","9","Argentina","5510","Production","56","Maize","1990","1990","tonnes","5400000","","Official data"
"QCL","Crops and livestock products","9","Argentina","5510","Production","56","Maize","1991","1991","tonnes","7684800","","Official data"
"QCL","Crops and livestock products","9","Argentina","5510","Production","56","Maize","1992","1992","tonnes","10700500","","Official data"
"QCL","Crops and livestock products","9","Argentina","5510","Production","56","Maize","1993","1993","tonnes","10901000","","Official data"
"QCL","Crops and livestock products","9","Argentina","5510","Production","56","Maize","1994","1994","tonnes","10360000","","Official data"
"QCL","Crops and livestock products","9","Argentina","5510","Production","56","Maize","1995","1995","tonnes","11404041","","Official data"
"QCL","Crops and livestock products","9","Argentina","5510","Production","56","Maize","1996","1996","tonnes","10518290","","Official data"
"QCL","Crops and livestock products","9","Argentina","5510","Production","56","Maize","1997","1997","tonnes","15536820","","Official data"
"QCL","Crops and livestock products","9","Argentina","5510","Production","56","Maize","1998","1998","tonnes","19360656","","Official data"
"QCL","Crops and livestock products","9","Argentina","5510","Production","56","Maize","1999","1999","tonnes","13504100","","Official data"
"QCL","Crops and livestock products","9","Argentina","5510","Production","56","Maize","2000","2000","tonnes","16780650","","Official data"
"QCL","Crops and livestock products","9","Argentina","5510","Production","56","Maize","2001","2001","tonnes","15359397","","Official data"
"QCL","Crops and livestock products","9","Argentina","5510","Production","56","Maize","2002","2002","tonnes","14712079","","Official data"
"QCL","Crops and livestock products","9","Argentina","5510","Production","56","Maize","2003","2003","tonnes","15044529","","Official data"
"QCL","Crops and livestock products","9","Argentina","5510","Production","56","Maize","2004","2004","tonnes","14950825","","Official data"
"QCL","Crops and livestock products","9","Argentina","5510","Production","56","Maize","2005","2005","tonnes","20482572","","Official data"
"QCL","Crops and livestock products","9","Argentina","5510","Production","56","Maize","2006","2006","tonnes","14445538","","Official data"
"QCL","Crops and livestock products","9","Argentina","5510","Production","56","Maize","2007","2007","tonnes","21755364","","Official data"
"QCL","Crops and livestock products","9","Argentina","5510","Production","56","Maize","2008","2008","tonnes","22016926","","Official data"
"QCL","Crops and livestock products","9","Argentina","5510","Production","56","Maize","2009","2009","tonnes","13121380","","Official data"
"QCL","Crops and livestock products","9","Argentina","5510","Production","56","Maize","2010","2010","tonnes","22663095","","Official data"
"QCL","Crops and livestock products","9","Argentina","5510","Production","56","Maize","2011","2011","tonnes","23799830","","Official data"
"QCL","Crops and livestock products","9","Argentina","5510","Production","56","Maize","2012","2012","tonnes","21196637","","Official data"
"QCL","Crops and livestock products","9","Argentina","5510","Production","56","Maize","2013","2013","tonnes","32119211","","Official data"
"QCL","Crops and livestock products","9","Argentina","5510","Production","56","Maize","2014","2014","tonnes","33087165","","Official data"
"QCL","Crops and livestock products","9","Argentina","5510","Production","56","Maize","2015","2015","tonnes","33817744","","Official data"
"QCL","Crops and livestock products","9","Argentina","5510","Production","56","Maize","2016","2016","tonnes","39792854","","Official data"
"QCL","Crops and livestock products","9","Argentina","5510","Production","56","Maize","2017","2017","tonnes","49475895","","Official data"
"QCL","Crops and livestock products","9","Argentina","5510","Production","56","Maize","2018","2018","tonnes","43462323","","Official data"
"QCL","Crops and livestock products","9","Argentina","5510","Production","56","Maize","2019","2019","tonnes","56860704","","Official data"
"QCL","Crops and livestock products","9","Argentina","5312","Area harvested","27","Rice, paddy","1961","1961","ha","46000","","Official data"
"QCL","Crops and livestock products","9","Argentina","5312","Area harvested","27","Rice, paddy","1962","1962","ha","53060","","Official data"
"QCL","Crops and livestock products","9","Argentina","5312","Area harvested","27","Rice, paddy","1963","1963","ha","52300","","Official data"
"QCL","Crops and livestock products","9","Argentina","5312","Area harvested","27","Rice, paddy","1964","1964","ha","54020","","Official data"
"QCL","Crops and livestock products","9","Argentina","5312","Area harvested","27","Rice, paddy","1965","1965","ha","67880","","Official data"
"QCL","Crops and livestock products","9","Argentina","5312","Area harvested","27","Rice, paddy","1966","1966","ha","46795","","Official data"
"QCL","Crops and livestock products","9","Argentina","5312","Area harvested","27","Rice, paddy","1967","1967","ha","61830","","Official data"
"QCL","Crops and livestock products","9","Argentina","5312","Area harvested","27","Rice, paddy","1968","1968","ha","70800","","Official data"
"QCL","Crops and livestock products","9","Argentina","5312","Area harvested","27","Rice, paddy","1969","1969","ha","87500","","Official data"
"QCL","Crops and livestock products","9","Argentina","5312","Area harvested","27","Rice, paddy","1970","1970","ha","101900","","Official data"
"QCL","Crops and livestock products","9","Argentina","5312","Area harvested","27","Rice, paddy","1971","1971","ha","77200","","Official data"
